baseline_m,yaw_deg,pixel_noise_std,mean_parallax_deg,mean_3d_error_m,mean_depth_error_m,mean_3d_error_m_gated,mean_depth_error_m_gated,retained_points,total_points,drop_rate
0.01,0.0,0.0,0.6071045503174456,5.1673387171640856e-15,5.1306181525490045e-15,8.548866317006849e-16,8.049116928532385e-16,16,80,0.8
0.01,0.0,0.25,0.6119413780800741,0.07850063783286046,0.0778475403732434,0.017236207171423712,0.016466683040579102,14,80,0.825
0.01,0.0,0.5,0.613645816884038,0.13290887662097817,0.13179259493843049,0.023460911379724187,0.02250619151592323,12,80,0.85
0.01,0.0,1.0,0.6151816665958196,0.2960514091321985,0.29335104632651743,0.04041186039020065,0.038827314689957176,13,80,0.8375
0.01,0.0,2.0,0.6985139561619337,2.6073384595769715,2.5992224002488746,0.2285360942094297,0.22488059875744046,11,80,0.8625
0.02,0.0,0.0,1.2140025500256513,2.160854284346482e-15,2.1427304375265522e-15,9.54361050577049e-16,9.3443771239284e-16,48,80,0.4
0.02,0.0,0.25,1.2073494254147348,0.03147324834073112,0.03118840939548287,0.013330473723188819,0.013032835707236323,48,80,0.4
0.02,0.0,0.5,1.2221210244535432,0.09059078879838806,0.08981383870603632,0.035792138857345224,0.03502543561181343,48,80,0.4
0.02,0.0,1.0,1.2301944150634725,0.16257976741167096,0.16126934162043197,0.05210330090224436,0.050792085578546996,46,80,0.42500000000000004
0.02,0.0,2.0,1.207140265588056,1.0695419059012756,1.0658397481552546,0.12050424304394679,0.11827783042235972,39,80,0.5125
0.05,0.0,0.0,3.031401982065486,1.911754713734406e-16,1.8041124150158794e-16,1.911754713734406e-16,1.8041124150158794e-16,80,80,0.0
0.05,0.0,0.25,3.0317215609276973,0.01588497742282009,0.015750934249794676,0.01588497742282009,0.015750934249794676,80,80,0.0
0.05,0.0,0.5,3.015847921019226,0.03264943160010851,0.03235663756250262,0.03264943160010851,0.03235663756250262,80,80,0.0
0.05,0.0,1.0,3.041946137516242,0.0608441704345221,0.06029388003125189,0.0608441704345221,0.06029388003125189,80,80,0.0
0.05,0.0,2.0,3.0148934089673975,0.13309086550858756,0.1316418761957357,0.09747282712712702,0.09597844819785227,69,80,0.13749999999999996
0.1,0.0,0.0,6.037347649470524,2.02632984178609e-16,1.9290125052862095e-16,2.02632984178609e-16,1.9290125052862095e-16,80,80,0.0
0.1,0.0,0.25,6.039222982549132,0.007700574752108577,0.007610581444235112,0.007700574752108577,0.007610581444235112,80,80,0.0
0.1,0.0,0.5,6.044574797924227,0.0141400644878796,0.01385953798792632,0.0141400644878796,0.01385953798792632,80,80,0.0
0.1,0.0,1.0,6.074541962665504,0.027568416182735006,0.027060314665212453,0.027790645120186894,0.027276853929414504,79,80,0.012499999999999956
0.1,0.0,2.0,6.032143928724475,0.0667409578397791,0.06546150241008504,0.07037866010916928,0.06914077926279581,58,80,0.275
0.05,8.0,0.0,3.0314019820654985,1.2305298719738683e-14,1.2208289934534378e-14,1.2305298719738683e-14,1.2208289934534378e-14,80,80,0.0
0.05,8.0,0.25,3.0355637782662903,0.017920504882790428,0.017739713519023165,0.017920504882790428,0.017739713519023165,80,80,0.0
0.05,8.0,0.5,3.0405235833424236,0.03181581527010996,0.03152033585851389,0.03181581527010996,0.03152033585851389,80,80,0.0
0.05,8.0,1.0,3.0250699914295347,0.05861867450191118,0.058043590526958275,0.05861867450191118,0.058043590526958275,80,80,0.0
0.05,8.0,2.0,3.0415327855603413,0.15016179035335514,0.1488365085714508,0.11676237654102739,0.11548002943205954,61,80,0.23750000000000004
